[2026-09-16T11:04:42.183Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] Executing getSqliteProducts for tenant 'beluxjewel.web' | data: {"domain":"beluxjewel.web","tableName":"design_Productlist_24_testing_testing_8","policy":{"Laboursetid":24,"diamondpricelistName":"testing","colorstonepricelistName":"testing","SettingPriceUniqueNo":8},"activeFilters":{"brand":"Jewellery","isLoggedIn":true,"Laboursetid":24,"laboursetid":24,"pricemanagement_laboursetid":24,"diamondpricelistName":"testing","diamondpricelistname":"testing","Diamondpricelistname":"testing","colorstonepricelistName":"testing","colorstonepricelistname":"testing","Colorstonepricelistname":"testing","SettingPriceUniqueNo":8,"settingpriceuniqueno":8,"FrontEnd_RegNo":"80kgizbiduw5e7gg","PackageId":10,"packageId":10,"tableName":"design_Productlist_24_testing_testing_8","page":1,"pageSize":10}}
[2026-09-16T11:04:42.186Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] [TABLE PICKED] Tenant 'beluxjewel.web' → Queried Table: 'design_Productlist_24_testing_testing_8' (Candidate: 'design_Productlist_24_testing_testing_8') | Results: 1 total, 1 returned | data: {"domain":"beluxjewel.web","pickedTable":"design_Productlist_24_testing_testing_8","candidateTable":"design_Productlist_24_testing_testing_8","tableMatched":true,"totalCount":1,"returned":1}
[2026-09-16T11:04:42.194Z] [INFO] [beluxjewel.web] [FILTERS_QUERY] [FILTERS GENERATED] Tenant 'beluxjewel.web' → 14 filter sections returned | data: {"domain":"beluxjewel.web","sectionsCount":14,"sections":["Collection","Category","SubCategory","Brand","Gender","Ocassion","Theme","Producttype","MetalColor","Price","Gross","NetWt","Diamond","Colorstone"]}
[2026-09-16T11:04:43.980Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] Executing getSqliteProducts for tenant 'beluxjewel.web' | data: {"domain":"beluxjewel.web","tableName":"design_Productlist_24_testing_testing_8","policy":{"Laboursetid":24,"diamondpricelistName":"testing","colorstonepricelistName":"testing","SettingPriceUniqueNo":8},"activeFilters":{"isLoggedIn":true,"Laboursetid":24,"laboursetid":24,"pricemanagement_laboursetid":24,"diamondpricelistName":"testing","diamondpricelistname":"testing","Diamondpricelistname":"testing","colorstonepricelistName":"testing","colorstonepricelistname":"testing","Colorstonepricelistname":"testing","SettingPriceUniqueNo":8,"settingpriceuniqueno":8,"FrontEnd_RegNo":"80kgizbiduw5e7gg","PackageId":10,"packageId":10,"tableName":"design_Productlist_24_testing_testing_8","page":1,"pageSize":10}}
[2026-09-16T11:04:43.982Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] [TABLE PICKED] Tenant 'beluxjewel.web' → Queried Table: 'design_Productlist_24_testing_testing_8' (Candidate: 'design_Productlist_24_testing_testing_8') | Results: 119 total, 10 returned | data: {"domain":"beluxjewel.web","pickedTable":"design_Productlist_24_testing_testing_8","candidateTable":"design_Productlist_24_testing_testing_8","tableMatched":true,"totalCount":119,"returned":10}
[2026-09-16T11:04:43.997Z] [INFO] [beluxjewel.web] [FILTERS_QUERY] [FILTERS GENERATED] Tenant 'beluxjewel.web' → 14 filter sections returned | data: {"domain":"beluxjewel.web","sectionsCount":14,"sections":["Collection","Category","SubCategory","Brand","Gender","Ocassion","Theme","Producttype","MetalColor","Price","Gross","NetWt","Diamond","Colorstone"]}
[2026-09-16T11:04:45.711Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] Executing getSqliteProducts for tenant 'beluxjewel.web' | data: {"domain":"beluxjewel.web","tableName":"design_Productlist_24_testing_testing_8","policy":{"Laboursetid":24,"diamondpricelistName":"testing","colorstonepricelistName":"testing","SettingPriceUniqueNo":8},"activeFilters":{"collection":"Glossy","isLoggedIn":true,"Laboursetid":24,"laboursetid":24,"pricemanagement_laboursetid":24,"diamondpricelistName":"testing","diamondpricelistname":"testing","Diamondpricelistname":"testing","colorstonepricelistName":"testing","colorstonepricelistname":"testing","Colorstonepricelistname":"testing","SettingPriceUniqueNo":8,"settingpriceuniqueno":8,"FrontEnd_RegNo":"80kgizbiduw5e7gg","PackageId":10,"packageId":10,"tableName":"design_Productlist_24_testing_testing_8","page":1,"pageSize":10}}
[2026-09-16T11:04:45.713Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] [TABLE PICKED] Tenant 'beluxjewel.web' → Queried Table: 'design_Productlist_24_testing_testing_8' (Candidate: 'design_Productlist_24_testing_testing_8') | Results: 1 total, 1 returned | data: {"domain":"beluxjewel.web","pickedTable":"design_Productlist_24_testing_testing_8","candidateTable":"design_Productlist_24_testing_testing_8","tableMatched":true,"totalCount":1,"returned":1}
[2026-09-16T11:04:45.719Z] [INFO] [beluxjewel.web] [FILTERS_QUERY] [FILTERS GENERATED] Tenant 'beluxjewel.web' → 12 filter sections returned | data: {"domain":"beluxjewel.web","sectionsCount":12,"sections":["Collection","Category","SubCategory","Brand","Gender","Ocassion","Theme","Producttype","MetalColor","Price","Gross","NetWt"]}
[2026-09-16T11:04:46.751Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:04:46.753Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:04:47.163Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] Executing getSqliteProducts for tenant 'beluxjewel.web' | data: {"domain":"beluxjewel.web","tableName":"design_Productlist_24_testing_testing_8","policy":{"Laboursetid":24,"diamondpricelistName":"testing","colorstonepricelistName":"testing","SettingPriceUniqueNo":8},"activeFilters":{"isLoggedIn":true,"Laboursetid":24,"laboursetid":24,"pricemanagement_laboursetid":24,"diamondpricelistName":"testing","diamondpricelistname":"testing","Diamondpricelistname":"testing","colorstonepricelistName":"testing","colorstonepricelistname":"testing","Colorstonepricelistname":"testing","SettingPriceUniqueNo":8,"settingpriceuniqueno":8,"FrontEnd_RegNo":"80kgizbiduw5e7gg","PackageId":10,"packageId":10,"tableName":"design_Productlist_24_testing_testing_8","page":1,"pageSize":10}}
