[2026-09-14T11:37:20.312Z] [ERROR] [SYSTEM] [DB] Sample error entry | data: {"code":500}
[2026-09-21T05:09:59.279Z] [ERROR] [SYSTEM] [MENUS] Error reading Menus for 'undefined': no such table: menus | data: {"error":"SqliteError: no such table: menus\n    at Database.prepare (F:\\next-ecomm(apilx)\\node_modules\\better-sqlite3\\lib\\methods\\wrappers.js:5:21)\n    at getMenus (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__7bbc6b9d._.js:4337:19)\n    at getSqliteMenus (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__7bbc6b9d._.js:6932:167)\n    at async layout (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__8e4e44be._.js:7928:25)"}
[2026-09-21T05:10:04.245Z] [ERROR] [SYSTEM] [MENUS] Error reading Menus for 'undefined': no such table: menus | data: {"error":"SqliteError: no such table: menus\n    at Database.prepare (F:\\next-ecomm(apilx)\\node_modules\\better-sqlite3\\lib\\methods\\wrappers.js:5:21)\n    at getMenus (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__7bbc6b9d._.js:4337:19)\n    at getSqliteMenus (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__7bbc6b9d._.js:6932:167)\n    at async executeActionAndPrepareForRender (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:34:3117)\n    at async F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:34:958\n    at async handleAction (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:32:22931)\n    at async renderToHTMLOrFlightImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:39:40058)\n    at async doRender (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\node_modules_3ed7f629._.js:5743:28)\n    at async AppPageRouteModule.handleResponse (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:41:57396)\n    at async handleResponse (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\node_modules_3ed7f629._.js:5892:32)\n    at async handler (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\node_modules_3ed7f629._.js:6272:20)\n    at async DevServer.renderToResponseWithComponentsImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1422:9)\n    at async DevServer.renderPageComponent (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1474:24)\n    at async DevServer.renderToResponseImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1514:32)\n    at async DevServer.pipeImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1025:25)\n    at async NextNodeServer.handleCatchallRenderRequest (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\next-server.js:393:17)\n    at async DevServer.handleRequestImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:916:17)\n    at async F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\dev\\next-dev-server.js:399:20\n    at async Span.traceAsyncFn (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\trace\\trace.js:157:20)\n    at async DevServer.handleRequest (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\dev\\next-dev-server.js:395:24)\n    at async invokeRender (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\router-server.js:240:21)\n    at async handleRequest (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\router-server.js:437:24)\n    at async requestHandlerImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\router-server.js:485:13)\n    at async Server.requestListener (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\start-server.js:226:13)"}
[2026-09-21T05:10:45.075Z] [ERROR] [SYSTEM] [MENUS] Error reading Menus for 'undefined': no such table: menus | data: {"error":"SqliteError: no such table: menus\n    at Database.prepare (F:\\next-ecomm(apilx)\\node_modules\\better-sqlite3\\lib\\methods\\wrappers.js:5:21)\n    at getMenus (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__7bbc6b9d._.js:4337:19)\n    at getSqliteMenus (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__7bbc6b9d._.js:6932:167)\n    at async layout (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__8e4e44be._.js:7928:25)"}
[2026-09-21T05:10:50.248Z] [ERROR] [SYSTEM] [MENUS] Error reading Menus for 'undefined': no such table: menus | data: {"error":"SqliteError: no such table: menus\n    at Database.prepare (F:\\next-ecomm(apilx)\\node_modules\\better-sqlite3\\lib\\methods\\wrappers.js:5:21)\n    at getMenus (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__7bbc6b9d._.js:4337:19)\n    at getSqliteMenus (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\[root-of-the-server]__7bbc6b9d._.js:6932:167)\n    at async executeActionAndPrepareForRender (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:34:3117)\n    at async F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:34:958\n    at async handleAction (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:32:22931)\n    at async renderToHTMLOrFlightImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:39:40058)\n    at async doRender (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\node_modules_3ed7f629._.js:5743:28)\n    at async AppPageRouteModule.handleResponse (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-page-turbo-experimental.runtime.dev.js:41:57396)\n    at async handleResponse (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\node_modules_3ed7f629._.js:5892:32)\n    at async handler (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\ssr\\node_modules_3ed7f629._.js:6272:20)\n    at async DevServer.renderToResponseWithComponentsImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1422:9)\n    at async DevServer.renderPageComponent (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1474:24)\n    at async DevServer.renderToResponseImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1514:32)\n    at async DevServer.pipeImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1025:25)\n    at async NextNodeServer.handleCatchallRenderRequest (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\next-server.js:393:17)\n    at async DevServer.handleRequestImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:916:17)\n    at async F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\dev\\next-dev-server.js:399:20\n    at async Span.traceAsyncFn (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\trace\\trace.js:157:20)\n    at async DevServer.handleRequest (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\dev\\next-dev-server.js:395:24)\n    at async invokeRender (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\router-server.js:240:21)\n    at async handleRequest (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\router-server.js:437:24)\n    at async requestHandlerImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\router-server.js:485:13)\n    at async Server.requestListener (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\start-server.js:226:13)"}
[2026-09-21T05:11:37.124Z] [ERROR] [SYSTEM] [API_STORE_INIT] POST /api/sqlite/store-init error: no such table: storeinit | data: {"error":"SqliteError: no such table: storeinit\n    at Database.prepare (F:\\next-ecomm(apilx)\\node_modules\\better-sqlite3\\lib\\methods\\wrappers.js:5:21)\n    at F:\\next-ecomm(apilx)\\.next\\server\\chunks\\[root-of-the-server]__38f2e0e2._.js:1736:38\n    at sqliteTransaction (F:\\next-ecomm(apilx)\\node_modules\\better-sqlite3\\lib\\methods\\transaction.js:65:24)\n    at saveStoreInit (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\[root-of-the-server]__38f2e0e2._.js:2798:5)\n    at POST (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\[root-of-the-server]__38f2e0e2._.js:3276:177)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async AppRouteRouteModule.do (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-route-turbo-experimental.runtime.dev.js:5:38800)\n    at async AppRouteRouteModule.handle (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-route-turbo-experimental.runtime.dev.js:5:46082)\n    at async responseGenerator (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\node_modules_next_b64528c8._.js:14162:38)\n    at async AppRouteRouteModule.handleResponse (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\compiled\\next-server\\app-route-turbo-experimental.runtime.dev.js:1:190246)\n    at async handleResponse (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\node_modules_next_b64528c8._.js:14224:32)\n    at async handler (F:\\next-ecomm(apilx)\\.next\\server\\chunks\\node_modules_next_b64528c8._.js:14276:13)\n    at async DevServer.renderToResponseWithComponentsImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1422:9)\n    at async DevServer.renderPageComponent (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1474:24)\n    at async DevServer.renderToResponseImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1514:32)\n    at async DevServer.pipeImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:1025:25)\n    at async NextNodeServer.handleCatchallRenderRequest (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\next-server.js:393:17)\n    at async DevServer.handleRequestImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\base-server.js:916:17)\n    at async F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\dev\\next-dev-server.js:399:20\n    at async Span.traceAsyncFn (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\trace\\trace.js:157:20)\n    at async DevServer.handleRequest (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\dev\\next-dev-server.js:395:24)\n    at async invokeRender (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\router-server.js:240:21)\n    at async handleRequest (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\router-server.js:437:24)\n    at async requestHandlerImpl (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\router-server.js:485:13)\n    at async Server.requestListener (F:\\next-ecomm(apilx)\\node_modules\\next\\dist\\server\\lib\\start-server.js:226:13)"}
[2026-09-21T05:16:58.375Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_1_dhruv_Retail_1: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_1_dhruv_Retail_1","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.385Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_2_kayraHKD_kayracsHKD_4: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_2_kayraHKD_kayracsHKD_4","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.395Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_7_dhrdiamond_dhrcolormisc_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_7_dhrdiamond_dhrcolormisc_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.409Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_14_dhrdiamond_dhrcolormisc_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_14_dhrdiamond_dhrcolormisc_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.418Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_16_hir_demo_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_16_hir_demo_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
